//NPC商店配置文件
//NPCID,物品id,价格
#npcid,itemid,price
//卡诺萨城,阿德兰修- 药剂店
5022,133040,24812
5022,133050,40539
5022,133060,55702
5022,163040,13708
5022,163050,23359
5022,167040,13708
5022,167050,23359
5022,117040,24812
5022,117050,40539
5022,137040,24812
5022,137050,40539
5022,137060,55702
5022,169040,13708
5022,169050,23359
5022,119040,24812
5022,119050,40539
5022,139040,24812
5022,139050,40539
5022,139060,55702
5022,162040,13708
5022,162050,23359
5022,112040,24812
5022,112050,40539
5022,132040,24812
5022,132050,40539
5022,132060,55702

//迷梦沼泽 卡妮娅首饰店
5024,121050,21080
5024,121060,27144
5024,141050,22789
5024,141060,26554
5024,125050,21080
5024,125060,27144
5024,145050,22789
5024,145060,26554
5024,123050,21080
5024,123060,27144
5024,143050,22789
5024,143060,26554
5024,127050,21080
5024,127060,27144
5024,147050,22789
5024,147060,26554
5024,129030,21080
5024,129040,27144
5024,149030,22789
5024,149040,26554
5024,122030,21080
5024,122040,27144
5024,142030,22789
5024,142040,26554


//海盗 武器商 朱里奥
5002,410140,57271
5002,410150,804228
5002,410160,117166
5002,420140,57271
5002,420150,804228
5002,420160,117166
5002,440140,57271
5002,440150,804228
5002,440160,117166
5002,490140,57271
5002,490150,804228
5002,490160,117166
5002,450140,57271
5002,450150,804228
5002,450160,117166
5002,430140,57271
5002,430150,804228
5002,430160,117166
5002,480140,57271
5002,480150,804228
5002,480160,117166



//海盗 装备商 吉尔巴特
5003,111060,41822
5003,111070,59306
5003,131060,55702
5003,131070,80428
5003,115060,30597
5003,161070,52797
5003,115060,41822
5003,115070,59306
5003,135060,55702
5003,135070,80428
5003,165060,30597
5003,165070,52797
5003,113060,41822
5003,113070,59306
5003,133060,55702
5003,133070,80428
5003,163060,30597
5003,163070,52797
5003,167060,41822
5003,167070,59306
5003,117060,55702
5003,117070,80428
5003,137060,30597
5003,137070,52797
5003,169060,41822
5003,169070,59306
5003,119060,55702
5003,119070,80428
5003,139050,30597
5003,139060,52797
5003,162040,41822
5003,162050,59306
5003,112040,55702
5003,112050,80428
5003,132050,30597
5003,132060,52797
//海盗 艾卡娅 首饰店
5005,121070,41822
5005,121080,70472
5005,141070,54040
5005,141080,64167
5005,127070,41822
5005,127080,70472
5005,147070,54040
5005,147080,64167
5005,123070,41822
5005,123080,70472
5005,143070,54040
5005,143080,64167
5005,127070,41822
5005,127080,70472
5005,147070,54040
5005,147080,64167
5005,129030,41822
5005,129040,70472
5005,149030,54040
5005,149040,64167
5005,122030,41822
5005,122040,70472
5005,142030,54040
5005,142040,64167


//冰宫 伊格罗斯 武器
5021,410160,80428
5021,410170,117166
5021,410180,135523
5021,410190,159724
5021,420160,80428
5021,420170,117166
5021,420180,135523
5021,420190,159724
5021,440160,80428
5021,440170,117166
5021,440180,135523
5021,440190,159724
5021,490160,80428
5021,490170,117166
5021,490180,135523
5021,490190,159724
5021,450160,80428
5021,450170,117166
5021,450180,135523
5021,450190,159724
5021,430160,80428
5021,430170,117166
5021,430180,135523
5021,430190,159724
5021,480160,80428
5021,480170,117166
5021,480180,135523
5021,480190,159724

//冰宫 鲍威尔 装备商
4002,111070,41822
4002,111080,59306
4002,111090,70472
4002,131070,80428
4002,131080,135523
4002,131090,205714
4002,115070,52797
4002,161080,70472
4002,161090,85186
4002,115070,41822
4002,115080,59306
4002,115090,70472
4002,135070,80428
4002,135080,135523
4002,135090,205714
4002,165070,52797
4002,165080,70472
4002,165090,85186
4002,113070,41822
4002,113080,59306
4002,113090,70472
4002,133070,80428
4002,133080,135523
4002,133090,205714
4002,163070,52797
4002,163080,70472
4002,163090,85186
4002,167070,41822
4002,167080,59306
4002,167090,70472
4002,117070,80428
4002,117080,135523
4002,117090,205714
4002,137070,52797
4002,137080,70472
4002,137090,85186
4002,169070,41822
4002,169080,59306
4002,169090,70472
4002,119070,80428
4002,119080,135523
4002,119090,205714
4002,139070,52797
4002,139080,70472
4002,139090,85186
4002,162070,41822
4002,162080,59306
4002,162090,70472
4002,112070,80428
4002,112080,135523
4002,112090,205714
4002,132070,52797
4002,132080,70472
4002,132090,85186


//冰宫 桑妮 首饰
4004,121070,41822
4004,121080,70472
4004,121090,85186
4004,141070,41822
4004,141080,70472
4004,141090,85186
4004,127070,41822
4004,127080,70472
4004,127090,85186
4004,147070,41822
4004,147080,70472
4004,147090,85186
4004,123070,41822
4004,123080,70472
4004,123090,85186
4004,143070,41822
4004,143080,70472
4004,143090,85186
4004,127070,41822
4004,127080,70472
4004,127090,85186
4004,147070,41822
4004,147080,70472
4004,147090,85186
4004,129070,41822
4004,129080,70472
4004,129090,85186
4004,149070,41822
4004,149080,70472
4004,149090,85186
4004,122070,41822
4004,122080,70472
4004,122090,85186
4004,142070,41822
4004,142080,70472
4004,142090,85186

//魔石商店 1207时装
//2016.1.14新增
1207,192780,5888
1207,192800,5888
1207,192740,3888
1207,192760,3888
1207,752077,2888
1207,815261,59
1207,749993,28
1207,815238,1
1207,813956,138
1207,815223,298
1207,815224,298
1207,1024504,15
1207,749389,9
1207,726319,15
1207,749390,28
1207,749391,138
1207,749392,298
1207,815200,59
1207,815201,59
1207,748389,28
1207,815176,2
1207,747945,88
1207,815129,2
1207,746006,28
1207,1037260,145
1207,1037261,290
1207,1037262,725
1207,744748,29
1207,729042,500
1207,751946,1
1207,751957,50
1207,751280,28
1207,748563,1700
1207,1025167,135
1207,1025565,135
1207,750702,135
1207,724024,2760
1207,748190,2
1207,748191,5
1207,748192,12
1207,748193,25
1207,748194,50
1207,748195,100
1207,748196,200
1207,748197,400
1207,748300,28
1207,748301,82
1207,748302,98
1207,748303,138
1207,748304,298
1207,748305,1688
1207,748306,5520
1207,751617,1
1207,751618,1
1207,748995,28
1207,748996,56
1207,748997,84
1207,748998,19
1207,748999,39
1207,748881,99
1207,748882,99
1207,748883,99
1207,748884,99
1207,748885,99
1207,748886,99
1207,748887,19
1207,810010,828
1207,729442,101
1207,729098,29
1207,810008,23
1207,831002,8280
1207,729011,19
1207,745263,98

1207,1020790,29
1207,726224,58
1207,1037220,29
1207,1037231,12
1207,1037232,36
1207,1037233,108
1207,810600,5
1207,820200,19
1207,831001,28
1207,810030,28
1207,723004,5
1207,831014,13
1207,729019,12
1207,729020,138
1207,820400,8
1207,820409,22
1207,820401,65
1207,820402,556
1207,820403,4080
1207,820404,8
1207,820408,22
1207,820405,65
1207,820406,556
1207,820407,4080
1207,810000,5
1207,810001,5
1207,810002,5
1207,810004,5
1207,810031,5
1207,1040039,18
1207,729215,9
1207,729216,9
1207,729070,2800
1207,729014,28
1207,1020090,30
1207,725504,12
1207,725505,12
1207,749455,27
1207,749456,27
1207,749457,54
1207,749458,135
1207,743037,12
1207,743038,12
1207,743040,12
1207,743041,12
1207,743042,12
1207,1033000,1
1207,1033020,1
1207,1033030,1
1207,1033040,1
1207,1033060,1
1207,1033070,1
1207,1033110,1
1207,1033170,1
1207,1033180,1
1207,1033200,1
1207,1033210,1
1207,1033220,1
1207,1033230,1
1207,191820,1688
1207,191840,1688
1207,191580,1688
1207,191600,1688
1207,191620,1688
1207,191640,1688
//精品装备
//龙骑
1207,112003,98
1207,111003,98
1207,122003,98
1207,132003,98
1207,142003,98
1207,162003,98
//战士
1207,480023,98
1207,121003,98
1207,131003,98
1207,141003,98
1207,161003,98
1207,410023,98
1207,420023,98
//法师
1207,115003,98
1207,125003,98
1207,135003,98
1207,145003,98
1207,165003,98
1207,440023,98
//异能者
1207,113003,98
1207,123003,98
1207,133003,98
1207,143003,98
1207,163003,98
1207,490023,98
//血族
1207,450023,98
1207,127003,98
1207,147003,98
1207,167003,98
1207,137003,98
1207,117003,98
//亡灵巫师
1207,430023,98
1207,129003,98
1207,169093,98
1207,169003,98
1207,139003,98
1207,119003,98
//宝石
1207,1037160,136
1207,1037150,12
1207,1037170,29
1207,723002,2700
1207,820300,8280











1207,190000,980
1207,192180,1688
1207,192200,1688
1207,192220,1688
1207,192240,1688
1207,191700,1688
1207,191720,1688
1207,191660,1688
1207,191680,1688
1207,191300,1688
1207,191320,1688
1207,191160,1688
1207,191180,1688
1207,191040,1688
1207,191060,1688
1207,190720,1688
1207,190740,1688
1207,190760,1688
1207,190780,1688
1207,190280,1688
1207,190300,1688
1207,190160,5500
1207,190180,5500
1207,190560,1688
1207,190580,1688
1207,190360,1688
1207,190380,1688
1207,190400,1688
1207,190420,1688
1207,190440,1688
1207,190460,1688
1207,190120,828
1207,190140,828
1207,190320,828
1207,190340,828
1207,190480,695
1207,190500,695
1207,190080,695
1207,190100,695


//幻兽
1207,729886,5
1207,815253,998
1207,815254,998
1207,815251,98
1207,815252,98
1207,815231,988
1207,815232,388
1207,815131,29
1207,815132,29
1207,729053,29
1207,729054,29
1207,729073,29
1207,729074,29
1207,729202,29
1207,729203,29
1207,729210,29
1207,729048,29
1207,729413,29
1207,729414,29
1207,500011,29
1207,500012,29
1207,815111,29
1207,815112,29
1207,815117,39
1207,815118,39
1207,815119,39
1207,815120,39
1207,815063,39
1207,815064,39
1207,729558,39
1207,729559,39
1207,729564,39
1207,729565,39
1207,815074,39
1207,815075,39
1207,815076,39
1207,815077,39
1207,815081,39
1207,815082,39
1207,815087,39
1207,815088,39
1207,815090,39
1207,815089,39
1207,815099,39
1207,815100,39
1207,815115,39
1207,815116,39
1207,729562,59
1207,729563,59
1207,815085,28
1207,815086,28
//战系宠礼包
1207,815000,6
1207,815001,15
1207,815002,1
1207,815003,25
1207,815004,67
1207,815203,98
1207,815159,58
1207,815155,98
1207,815123,980
1207,815124,980
1207,815005,50
1207,815015,68
1207,815016,69
1207,729071,9
1207,729200,9
1207,729204,5
1207,729055,29
1207,729056,82
1207,729520,39
1207,729532,39
1207,729534,39
1207,729536,39
1207,729538,39
1207,729539,39
1207,729541,39
1207,729544,39
1207,729545,39
1207,815092,39
1207,815097,39
1207,815113,39
1207,729047,30
1207,500013,59
1207,500014,59
1207,729060,5888
1207,729205,82
1207,815029,39
1207,815031,39
1207,815093,59
1207,815094,59
//魔法宠物
1207,815006,6
1207,815007,25
1207,815008,1
1207,815204,98
1207,815160,58
1207,815156,98
1207,815125,980
1207,815126,980
1207,815009,50
1207,815010,15
1207,815017,68
1207,815018,68
1207,729072,9
1207,729201,9
1207,729206,5
1207,729057,29
1207,729058,82
1207,729521,39
1207,729531,39
1207,729533,39
1207,729535,39
1207,729537,39
1207,729540,39
1207,729542,39
1207,729543,39
1207,729546,39
1207,815091,39
1207,815098,39
1207,815114,39
1207,729047,30
1207,500015,59
1207,500016,59
1207,729061,5888
1207,729207,82
1207,815030,39
1207,815032,39
1207,815095,59
1207,815096,59

//异能骑宠
1207,729049,9

//o型宠
1207,815011,28
1207,812001,59
1207,500017,28
1207,500018,59
1207,815080,29
1207,813001,82
1207,813000,138
1207,742186,82
1207,742184,138

//战士技能书
1207,751616,1
1207,1022000,1
1207,1022010,1
1207,1022020,1
1207,1022030,1
1207,1022040,1
1207,1022050,1
1207,1022060,1
1207,1022070,1
1207,1022080,1
1207,1022090,1
1207,1022100,1
//法师技能书
1207,1021000,1
1207,1021010,1
1207,1021500,1
1207,1021510,1
1207,1021520,1
1207,1021020,1
1207,1021030,1
1207,1021040,1
1207,1021050,1
1207,1021200,1
1207,1021060,1
1207,1021070,1
1207,1021080,1
1207,1021090,1
1207,1021100,1
1207,1021110,1
1207,1021120,1
//异能者技能书
1207,779009,1
1207,779010,1
1207,779013,1
1207,779004,1
1207,724069,1
1207,724068,1
1207,779000,1
1207,779008,1
1207,724067,1
1207,779003,1
1207,779002,1
1207,779016,1
1207,779001,1
1207,779005,1
1207,779006,1
1207,779007,1
//血族技能书
1207,745428,1
1207,745429,1
1207,745506,1
1207,745959,1
1207,745426,1
1207,745425,1
1207,745962,1
1207,745965,1
1207,745963,1
1207,745427,1
1207,745960,1
1207,745961,1
//亡灵巫师技能书
1207,748376,1
1207,748476,1
1207,748386,1
1207,748380,1
1207,748387,1
1207,748378,1
1207,748384,1
1207,748473,1
1207,748382,1
1207,748383,1
1207,748384,1
1207,748385,1
//暗黑龙骑技能书
1207,750095,1
1207,750100,1
1207,750096,1
1207,750101,1
1207,750099,1
1207,750104,1
1207,750097,1
1207,750098,1
//法宝
1207,1110010,12
1207,1110110,48
1207,1110210,48
1207,742178,8700
//镶嵌宝石
1207,1038160,83
1207,1038190,56
1207,1038220,56
1207,1038250,56
1207,1038280,69
1207,1037200,136
1207,1020790,29
1207,1020040,1
1207,1020030,1
1207,1037210,29

