//ÃûÈËÌÃµñÏñ×ø±êÅäÖÃ
//Ãû´Î,x×ø±ê,y×ø±ê
#index,x,y
469,1012,966
470,1012,959
471,1012,948
472,1012,941
473,1023,966
474,1023,959
475,1023,948
476,1023,941
477,1034,966
478,1034,959
479,1034,948
480,1034,941
481,1045,966
482,1045,959
483,1045,948
484,1045,941
485,1057,966
486,1057,959
487,1057,948
488,1057,941
489,1069,966
490,1069,959
491,1069,948
492,1069,941
493,1081,966
494,1081,959
495,1081,948
496,1081,941
497,1099,967
498,1099,959
499,1093,948
500,1093,941
501,1090,1005
502,1097,1005
503,1107,1005
504,1115,1005
505,1090,1016
506,1097,1016
507,1107,1016
508,1115,1016
509,1090,1027
510,1097,1027
511,1107,1027
512,1115,1027
513,1090,1038
514,1097,1038
515,1107,1038
516,1115,1038
517,1090,1049
518,1097,1049
519,1107,1049
520,1115,1049
521,1090,1060
522,1097,1060
523,1107,1060
524,1115,1060
525,1090,1071
526,1097,1071
527,1107,1071
528,1115,1071
529,1090,1082
530,1097,1082
531,1107,1082
532,1115,1082
533,1090,1093
534,1097,1093
535,1107,1093
536,1115,1093
537,1090,1104
538,1097,1104
539,1107,1104
540,1115,1104
541,1090,1115
542,1097,1115
543,1107,1115
544,1115,1115
545,1090,1126
546,1097,1126
547,1107,1126
548,1115,1126
549,1090,1137
550,1097,1137
551,1107,1137
552,1115,1137
553,1090,1148
554,1097,1148
555,1107,1148
556,1115,1148
557,1090,1159
558,1097,1159
559,1107,1159
560,1115,1159
561,1090,1170
562,1097,1170
563,1107,1170
564,1115,1170
565,1090,1181
566,1097,1181
567,1107,1181
568,1115,1181
569,1090,1192
570,1097,1192
571,1107,1192
572,1115,1192
573,1090,1203
574,1097,1203
575,1107,1203
576,1115,1203
577,1090,1214
578,1097,1214
579,1107,1214
580,1115,1214
581,1090,1225
582,1097,1225
583,1107,1225
584,1115,1225
585,1090,1236
586,1097,1236
587,1107,1236
588,1115,1236
589,1090,1247
590,1097,1247
591,1107,1247
592,1115,1247
593,1090,1258
594,1097,1258
595,1107,1258
596,1115,1258
597,1090,1269
598,1097,1269
599,1107,1269
600,1115,1269
//³àÏ¾Ê¥µî601-800
601,1159,1297
602,1159,1291
603,1159,1281
604,1159,1276
605,1170,1297
606,1170,1291
607,1170,1281
608,1170,1276
609,1181,1297
610,1181,1291
611,1181,1281
612,1181,1276
613,1192,1297
614,1192,1291
615,1192,1281
616,1192,1276
617,1204,1297
618,1204,1291
619,1204,1281
620,1204,1276
621,1215,1297
622,1215,1291
623,1215,1281
624,1215,1276
625,1226,1297
626,1226,1291
627,1226,1281
628,1226,1276
629,1237,1297
630,1237,1291
631,1237,1281
632,1237,1276
633,1248,1297
634,1248,1291
635,1248,1281
636,1248,1276
637,1260,1297
638,1260,1291
639,1259,1281
640,1259,1276
641,1271,1297
642,1271,1291
643,1271,1281
644,1271,1276
645,1283,1297
646,1283,1291
647,1283,1281
648,1283,1276
649,1295,1297
650,1295,1291
651,1295,1281
652,1295,1276
653,1307,1297
654,1307,1291
655,1307,1281
656,1307,1276
657,1319,1297
658,1319,1291
659,1319,1281
660,1319,1276
661,1331,1297
662,1331,1291
663,1331,1281
664,1331,1276
665,1343,1297
666,1343,1291
667,1343,1281
668,1343,1276
669,1355,1297
670,1355,1291
671,1355,1281
672,1355,1276
673,1367,1297
674,1367,1291
675,1367,1281
676,1367,1276
677,1379,1297
678,1379,1291
679,1379,1281
680,1379,1276
681,1391,1297
682,1391,1291
683,1391,1281
684,1391,1276
685,1403,1297
686,1403,1291
687,1403,1281
688,1403,1276
689,1415,1297
690,1415,1291
691,1415,1281
692,1415,1276
693,1427,1297
694,1427,1291
695,1427,1281
696,1427,1276
697,1439,1298
698,1439,1291
699,1438,1281
700,1438,1276
701,1437,1339
702,1443,1339
703,1453,1339
704,1460,1339
705,1437,1350
706,1443,1350
707,1453,1350
708,1460,1350
709,1437,1361
710,1443,1361
711,1453,1361
712,1460,1361
713,1437,1372
714,1443,1372
715,1453,1372
716,1460,1372
717,1437,1383
718,1443,1383
719,1453,1383
720,1460,1383
721,1437,1394
722,1443,1394
723,1453,1394
724,1460,1394
725,1437,1405
726,1443,1405
727,1453,1405
728,1460,1405
729,1437,1416
730,1443,1416
731,1453,1416
732,1460,1416
733,1437,1427
734,1443,1427
735,1453,1427
736,1460,1427
737,1437,1438
738,1443,1438
739,1453,1438
740,1460,1438
741,1437,1449
742,1443,1449
743,1453,1449
744,1460,1449
745,1437,1460
746,1443,1460
747,1453,1460
748,1460,1460
749,1437,1471
750,1443,1471
751,1453,1471
752,1460,1471
753,1437,1482
754,1443,1482
755,1453,1482
756,1460,1482
757,1437,1493
758,1443,1493
759,1453,1493
760,1460,1493
761,1437,1504
762,1443,1504
763,1453,1504
764,1460,1504
765,1437,1515
766,1443,1515
767,1453,1515
768,1460,1515
769,1437,1526
770,1443,1526
771,1453,1526
772,1460,1526
773,1437,1537
774,1443,1537
775,1453,1537
776,1460,1537
777,1437,1548
778,1443,1548
779,1453,1548
780,1460,1548
781,1437,1559
782,1443,1559
783,1453,1559
784,1460,1559
785,1437,1570
786,1443,1570
787,1453,1570
788,1460,1570
789,1437,1581
790,1443,1581
791,1453,1581
792,1460,1581
793,1437,1592
794,1443,1592
795,1453,1592
796,1460,1592
797,1437,1603
798,1443,1603
799,1453,1603
800,1460,1603
//²ÔÍ­Ê¥µî801-1000
801,1506,1634
802,1506,1629
803,1506,1619
804,1506,1614
805,1518,1634
806,1518,1629
807,1518,1619
808,1518,1614
809,1530,1634
810,1530,1629
811,1530,1619
812,1530,1614
813,1542,1634
814,1542,1629
815,1542,1619
816,1542,1614
817,1554,1634
818,1554,1629
819,1554,1619
820,1554,1614
821,1566,1634
822,1566,1629
823,1566,1619
824,1566,1614
825,1577,1634
826,1577,1629
827,1577,1619
828,1577,1614
829,1588,1634
830,1588,1629
831,1588,1619
832,1588,1614
833,1599,1634
834,1599,1629
835,1599,1619
836,1599,1614
837,1610,1634
838,1610,1629
839,1610,1619
840,1610,1614
841,1621,1634
842,1621,1629
843,1621,1619
844,1621,1614
845,1632,1634
846,1632,1629
847,1632,1619
848,1632,1614
849,1643,1634
850,1643,1629
851,1643,1619
852,1643,1614
853,1654,1634
854,1654,1629
855,1654,1619
856,1654,1614
857,1665,1634
858,1665,1629
859,1665,1619
860,1665,1614
861,1676,1634
862,1676,1629
863,1676,1619
864,1676,1614
865,1687,1634
866,1687,1629
867,1687,1619
868,1687,1614
869,1698,1634
870,1698,1629
871,1698,1619
872,1698,1614
873,1709,1634
874,1709,1629
875,1709,1619
876,1709,1614
877,1720,1634
878,1720,1629
879,1720,1619
880,1720,1614
881,1731,1634
882,1731,1629
883,1731,1619
884,1731,1614
885,1742,1634
886,1742,1629
887,1742,1619
888,1742,1614
889,1753,1634
890,1753,1629
891,1753,1619
892,1753,1614
893,1764,1634
894,1764,1629
895,1764,1619
896,1764,1614
897,1783,1634
898,1783,1627
899,1775,1619
900,1775,1614
901,1779,1676
902,1787,1676
903,1796,1676
904,1804,1676
905,1779,1687
906,1787,1687
907,1796,1687
908,1804,1687
909,1779,1698
910,1787,1698
911,1796,1698
912,1804,1698
913,1779,1709
914,1787,1709
915,1796,1709
916,1804,1709
917,1779,1720
918,1787,1720
919,1796,1720
920,1804,1720
921,1779,1731
922,1787,1731
923,1796,1731
924,1804,1731
925,1779,1742
926,1787,1742
927,1796,1742
928,1804,1742
929,1779,1753
930,1787,1753
931,1796,1753
932,1804,1753
933,1779,1764
934,1787,1764
935,1796,1764
936,1804,1764
937,1779,1775
938,1787,1775
939,1796,1775
940,1804,1775
941,1779,1786
942,1787,1786
943,1796,1786
944,1804,1786
945,1779,1797
946,1787,1797
947,1796,1797
948,1804,1797
949,1779,1808
950,1787,1808
951,1796,1808
952,1804,1808
953,1779,1819
954,1787,1819
955,1796,1819
956,1804,1819
957,1779,1830
958,1787,1830
959,1796,1830
960,1804,1830
961,1779,1841
962,1787,1841
963,1796,1841
964,1804,1841
965,1779,1852
966,1787,1852
967,1796,1852
968,1804,1852
969,1779,1863
970,1787,1863
971,1796,1863
972,1804,1863
973,1779,1874
974,1787,1874
975,1796,1874
976,1804,1874
977,1779,1885
978,1787,1885
979,1796,1885
980,1804,1885
981,1779,1896
982,1787,1896
983,1796,1896
984,1804,1896
985,1779,1907
986,1787,1907
987,1796,1907
988,1804,1907
989,1779,1918
990,1787,1918
991,1796,1918
992,1804,1918
993,1779,1929
994,1787,1929
995,1796,1929
996,1804,1929
997,1779,1940
998,1787,1940
999,1796,1940
1000,1804,1940

